Date,Open,High,Low,Close,Adj Close,Volume
2021-02-04,215.089996,218.830002,215.080002,218.619995,218.209641,25400800
2021-02-05,220.940002,221.839996,218.770004,221.649994,221.233948,23320600
2021-02-08,223.789993,227.330002,223.399994,227.309998,226.883331,20831500
2021-02-09,227.130005,229.619995,226.309998,228.380005,227.951340,19510900
2021-02-10,229.919998,230.320007,224.949997,226.880005,226.454147,27955400
2021-02-11,228.139999,229.000000,223.419998,226.619995,226.194626,25795300
2021-02-12,225.929993,227.740005,224.639999,227.259995,226.833420,17424100
2021-02-16,229.470001,229.630005,224.789993,225.830002,225.406113,22999500
2021-02-17,223.610001,224.740005,220.960007,224.059998,223.639435,25042300
2021-02-18,222.339996,222.899994,219.389999,220.589996,220.175949,24501500
2021-02-19,222.460007,226.300003,222.169998,225.190002,224.767319,31238200
2021-02-22,223.509995,226.389999,222.979996,223.729996,223.310059,23272100
2021-02-23,220.960007,222.979996,215.559998,221.759995,221.343750,38646800
2021-02-24,222.619995,227.449997,221.710007,227.000000,226.573914,27584900
2021-02-25,226.789993,227.589996,218.009995,218.610001,218.199661,49961400
2021-02-26,219.520004,222.229996,214.809998,218.309998,217.900223,47690400
2021-03-01,223.479996,226.710007,222.940002,226.070007,225.645676,26133500
2021-03-02,225.789993,225.960007,221.550003,221.720001,221.303833,26839700
2021-03-03,222.419998,224.259995,219.210007,219.320007,218.908340,33321900
2021-03-04,218.509995,220.690002,209.429993,213.190002,212.789841,58940200
2021-03-05,216.889999,218.149994,207.210007,217.710007,217.301361,53192800
2021-03-08,219.360001,222.270004,217.669998,218.740005,218.329422,40586100
2021-03-09,222.410004,224.990005,220.919998,223.339996,222.920792,32213600
2021-03-10,225.600006,228.970001,225.199997,227.220001,226.793503,36741900
2021-03-11,229.550003,232.279999,228.789993,232.220001,231.784119,25214100
2021-03-12,231.990005,234.149994,231.369995,233.589996,233.151550,23717600
2021-03-15,233.339996,234.529999,231.910004,234.419998,233.979996,21497400
2021-03-16,234.020004,234.089996,229.119995,230.500000,230.067352,24274100
2021-03-17,228.970001,232.820007,227.360001,232.309998,231.873947,29245300
2021-03-18,230.800003,232.929993,224.610001,225.240005,224.817230,35637200
2021-03-19,224.570007,228.600006,222.949997,226.940002,226.514038,40058000
2021-03-22,227.679993,228.100006,224.100006,225.229996,224.807236,26128400
2021-03-23,223.160004,223.860001,216.029999,217.059998,216.652573,43660700
2021-03-24,219.860001,221.330002,212.039993,212.039993,211.641998,47270200
2021-03-25,209.339996,217.520004,208.029999,216.660004,216.660004,59244600
2021-03-26,218.960007,220.679993,215.960007,220.610001,220.610001,34421400
2021-03-29,219.009995,220.929993,214.080002,214.399994,214.399994,38078800
2021-03-30,214.389999,218.679993,213.139999,218.009995,218.009995,36205400
2021-03-31,219.169998,222.399994,219.119995,220.940002,220.940002,34800100
2021-04-01,222.399994,223.899994,222.020004,223.740005,223.740005,29799200
2021-04-05,226.399994,226.539993,223.570007,224.970001,224.970001,27826600
